,Input_file,Emb_dim,Batch_size,Neg_pos_ratio,Min_keep,Epochs,Learning_rate,T_Preproccessing,T_Training,T_Epoch_1,Training_loss,Validation_loss
0,train_5000.txt,200,64,4,0.5,1,0.001,37.47895312309265,66.76068592071533,66.75317978858948,[1658.5626961943242],[1522.9639997842994]
1,train_5000.txt,200,128,4,0.5,1,0.001,37.687255859375,31.093348741531372,31.085416078567505,[3370.5281402541723],[3149.1368172175935]
2,train_5000.txt,200,256,4,0.5,1,0.001,36.90936636924744,14.93817400932312,14.929514169692993,[6885.646296744989],[6511.027156967714]
3,train_5000.txt,200,512,4,0.5,1,0.001,37.88877987861633,8.38696551322937,8.380325078964233,[13965.02560452464],[13403.953236775225]
4,train_5000.txt,200,1024,4,0.5,1,0.001,37.45184135437012,5.0186755657196045,5.0098676681518555,[28135.799454654556],[26947.109840029763]
5,train_5000.txt,300,64,4,0.5,1,0.001,37.79172468185425,101.63404393196106,101.62757515907288,[2016.3436106163867],[1853.6004858435372]
6,train_5000.txt,300,128,4,0.5,1,0.001,37.541263818740845,46.90902304649353,46.90180683135986,[4106.744325300208],[3833.7706221381704]
7,train_5000.txt,300,256,4,0.5,1,0.001,38.2727313041687,20.842422008514404,20.83561611175537,[8370.2460036285],[7990.186399896461]
8,train_5000.txt,300,512,4,0.5,1,0.001,37.52897381782532,11.403407096862793,11.396973848342896,[16961.97703012887],[16345.227256682982]
9,train_5000.txt,300,1024,4,0.5,1,0.001,37.671831369400024,6.742385149002075,6.733596324920654,[34121.95744305346],[32698.303059895832]
